epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,100.859,0.83021,0.50722,0.93787,0.01333,0.16842,0.0091,0.0023,3.75577,3.80355,2.53763,0.00191029,0.00191029,0.00191029
45,103.145,0.84296,0.51267,0.9426,0.01333,0.16842,0.0091,0.0023,3.75577,3.80355,2.53763,0.00190614,0.00190614,0.00190614
46,105.409,0.80745,0.49067,0.92043,0.00734,0.06316,0.00288,0.00116,3.79792,8.13777,2.64753,0.00190191,0.00190191,0.00190191
47,108.07,0.77006,0.48581,0.92952,0.00734,0.06316,0.00288,0.00116,3.79792,8.13777,2.64753,0.00189758,0.00189758,0.00189758
48,110.37,0.92921,0.50764,0.96073,0.0055,0.03158,0.0019,0.00043,3.78856,18.9485,2.96803,0.00189317,0.00189317,0.00189317
49,112.648,0.88045,0.49187,0.9611,0.16068,0.07368,0.04488,0.01767,2.96282,4.09147,2.33265,0.00188868,0.00188868,0.00188868
50,114.877,0.81012,0.50044,0.94282,0.16068,0.07368,0.04488,0.01767,2.96282,4.09147,2.33265,0.00188409,0.00188409,0.00188409
51,117.518,0.90428,0.51937,0.98531,0.20113,0.07368,0.04548,0.01845,2.82393,5.65208,2.25362,0.00187942,0.00187942,0.00187942
52,119.754,0.80374,0.46615,0.93286,0.20113,0.07368,0.04548,0.01845,2.82393,5.65208,2.25362,0.00187467,0.00187467,0.00187467
53,122.348,0.77257,0.46448,0.92317,0.00095,0.01053,0.00042,8e-05,3.5293,11.6496,3.32676,0.00186983,0.00186983,0.00186983
54,124.569,0.84007,0.47608,0.94854,0.00101,0.01053,0.00042,0.00017,5.10688,119.227,7.28464,0.0018649,0.0018649,0.0018649
55,126.729,0.82423,0.48201,0.93173,0.00101,0.01053,0.00042,0.00017,5.10688,119.227,7.28464,0.0018599,0.0018599,0.0018599
56,128.903,0.85941,0.47932,0.94485,0.03248,0.04211,0.00622,0.00164,3.69151,6.39072,2.9268,0.0018548,0.0018548,0.0018548
57,131.465,0.92905,0.49719,0.9784,0.03248,0.04211,0.00622,0.00164,3.69151,6.39072,2.9268,0.00184963,0.00184963,0.00184963
58,133.669,0.81576,0.49062,0.94419,0.21096,0.08421,0.04934,0.02518,3.44629,6.17549,3.06992,0.00184437,0.00184437,0.00184437
59,135.816,0.73997,0.46348,0.92448,0.20376,0.05263,0.04818,0.02023,3.41812,5.66581,2.82707,0.00183903,0.00183903,0.00183903
60,138.385,0.98027,0.50103,0.98205,0.20376,0.05263,0.04818,0.02023,3.41812,5.66581,2.82707,0.00183362,0.00183362,0.00183362
61,140.55,0.80587,0.46487,0.94102,0.8256,0.04211,0.05512,0.03496,3.15055,3.96463,2.57234,0.00182812,0.00182812,0.00182812
62,143.044,0.78182,0.47932,0.92401,0.8256,0.04211,0.05512,0.03496,3.15055,3.96463,2.57234,0.00182254,0.00182254,0.00182254
63,145.195,0.96693,0.51843,1.00258,0.06304,0.02105,0.01168,0.00309,3.14278,4.61341,2.80649,0.00181688,0.00181688,0.00181688
64,147.338,1.0106,0.54309,1.02841,0.07049,0.03158,0.01282,0.00592,3.14012,4.64433,2.57608,0.00181114,0.00181114,0.00181114
65,149.881,0.8551,0.47407,0.94241,0.07049,0.03158,0.01282,0.00592,3.14012,4.64433,2.57608,0.00180532,0.00180532,0.00180532
66,152.052,0.90831,0.49444,0.97711,0.46738,0.22105,0.21215,0.13455,2.13012,2.95998,1.74083,0.00179943,0.00179943,0.00179943
67,154.531,0.83513,0.49184,0.95585,0.46738,0.22105,0.21215,0.13455,2.13012,2.95998,1.74083,0.00179346,0.00179346,0.00179346
68,156.721,0.8457,0.48257,0.93297,0.3673,0.22105,0.17561,0.10091,2.28996,2.97954,1.8699,0.00178742,0.00178742,0.00178742
69,159.252,0.80629,0.46246,0.93206,0.56834,0.24952,0.28576,0.17031,2.01701,2.3828,1.72413,0.0017813,0.0017813,0.0017813
70,161.426,0.72106,0.42224,0.90736,0.56834,0.24952,0.28576,0.17031,2.01701,2.3828,1.72413,0.0017751,0.0017751,0.0017751
71,163.583,0.72027,0.42951,0.9023,0.84822,0.76474,0.85539,0.61577,1.09436,0.85924,1.08505,0.00176883,0.00176883,0.00176883
72,166.115,0.7671,0.44426,0.90799,0.84822,0.76474,0.85539,0.61577,1.09436,0.85924,1.08505,0.00176249,0.00176249,0.00176249
73,168.286,0.77998,0.4431,0.92081,0.79648,0.78947,0.86298,0.63336,1.04017,0.80223,1.05749,0.00175607,0.00175607,0.00175607
74,170.859,0.77058,0.44376,0.91731,0.75779,0.72632,0.81219,0.60932,0.98764,0.84362,1.03803,0.00174958,0.00174958,0.00174958
75,173.008,0.75855,0.43989,0.92228,0.75779,0.72632,0.81219,0.60932,0.98764,0.84362,1.03803,0.00174303,0.00174303,0.00174303
76,175.174,0.71833,0.44785,0.91589,0.76301,0.77949,0.83361,0.61827,0.94495,0.8466,1.02254,0.0017364,0.0017364,0.0017364
77,177.725,0.7348,0.4318,0.90247,0.76301,0.77949,0.83361,0.61827,0.94495,0.8466,1.02254,0.0017297,0.0017297,0.0017297
78,179.919,0.78342,0.45132,0.92307,0.79224,0.86316,0.89094,0.67116,0.93353,0.76893,1.01604,0.00172293,0.00172293,0.00172293
79,182.682,0.74734,0.45884,0.92921,0.88939,0.81053,0.8706,0.65278,0.95282,0.78195,1.02901,0.00171609,0.00171609,0.00171609
80,184.832,0.718,0.43166,0.92604,0.88939,0.81053,0.8706,0.65278,0.95282,0.78195,1.02901,0.00170919,0.00170919,0.00170919
81,187.011,0.71067,0.42541,0.89808,0.72114,0.70778,0.73558,0.53005,1.17593,1.00206,1.16738,0.00170222,0.00170222,0.00170222
82,189.622,0.77471,0.42315,0.91253,0.72114,0.70778,0.73558,0.53005,1.17593,1.00206,1.16738,0.00169518,0.00169518,0.00169518
83,191.877,0.77544,0.44094,0.90786,0.80853,0.71124,0.77352,0.53436,1.18554,0.94596,1.1632,0.00168808,0.00168808,0.00168808
84,194.489,0.70501,0.43048,0.92345,0.85939,0.82105,0.91702,0.64933,1.07056,0.72472,1.07452,0.00168091,0.00168091,0.00168091
85,196.716,0.68845,0.4169,0.88919,0.85939,0.82105,0.91702,0.64933,1.07056,0.72472,1.07452,0.00167368,0.00167368,0.00167368
86,198.941,0.73801,0.4271,0.91437,0.85593,0.77895,0.87262,0.61957,1.04499,0.84655,1.06242,0.00166639,0.00166639,0.00166639
87,201.545,0.63059,0.41453,0.87878,0.85593,0.77895,0.87262,0.61957,1.04499,0.84655,1.06242,0.00165903,0.00165903,0.00165903
88,203.721,0.67429,0.41385,0.91148,0.89345,0.88271,0.92468,0.65761,0.98138,0.71783,1.04864,0.00165162,0.00165162,0.00165162
89,206.323,0.65647,0.40099,0.89439,0.92366,0.83158,0.93807,0.72122,0.85306,0.5781,0.96825,0.00164414,0.00164414,0.00164414
90,208.719,0.79242,0.44852,0.90056,0.92366,0.83158,0.93807,0.72122,0.85306,0.5781,0.96825,0.0016366,0.0016366,0.0016366
91,211.118,0.7128,0.42565,0.90945,0.8896,0.84822,0.92426,0.68087,0.92974,0.63881,1.00235,0.00162901,0.00162901,0.00162901
92,213.728,0.68003,0.40321,0.89535,0.8896,0.84822,0.92426,0.68087,0.92974,0.63881,1.00235,0.00162135,0.00162135,0.00162135
93,215.92,0.67248,0.39636,0.88124,0.86803,0.76166,0.86373,0.61482,1.00652,0.80852,1.03721,0.00161364,0.00161364,0.00161364
94,218.154,0.65917,0.39497,0.87721,0.82569,0.84771,0.90942,0.62759,1.02882,0.69854,1.03752,0.00160588,0.00160588,0.00160588
95,220.694,0.69755,0.39979,0.90315,0.82569,0.84771,0.90942,0.62759,1.02882,0.69854,1.03752,0.00159805,0.00159805,0.00159805
96,222.905,0.64572,0.40226,0.88452,0.84144,0.74737,0.83624,0.58009,0.99761,0.90927,1.03993,0.00159018,0.00159018,0.00159018
97,225.096,0.67096,0.41559,0.91052,0.84144,0.74737,0.83624,0.58009,0.99761,0.90927,1.03993,0.00158224,0.00158224,0.00158224
98,227.687,0.70185,0.41936,0.91471,0.693,0.61053,0.60944,0.36358,1.40391,1.68593,1.30556,0.00157426,0.00157426,0.00157426
99,229.919,0.83016,0.42944,0.91044,0.7438,0.61053,0.64925,0.38713,1.41164,1.51586,1.252,0.00156622,0.00156622,0.00156622
100,232.063,0.73176,0.41999,0.89678,0.7438,0.61053,0.64925,0.38713,1.41164,1.51586,1.252,0.00155814,0.00155814,0.00155814
101,234.601,0.75147,0.43376,0.91684,0.91267,0.88004,0.94537,0.70023,1.01426,0.59616,1.02493,0.00155,0.00155,0.00155
102,237.092,0.74674,0.41243,0.89691,0.91267,0.88004,0.94537,0.70023,1.01426,0.59616,1.02493,0.00154181,0.00154181,0.00154181
103,239.263,0.75578,0.4215,0.91732,0.89732,0.90526,0.93512,0.71443,0.9191,0.59574,1.00274,0.00153358,0.00153358,0.00153358
104,241.853,0.71925,0.41925,0.91113,0.93131,0.91579,0.94743,0.73189,0.86694,0.56793,0.99978,0.0015253,0.0015253,0.0015253
105,244.145,0.6689,0.40311,0.90213,0.93131,0.91579,0.94743,0.73189,0.86694,0.56793,0.99978,0.00151697,0.00151697,0.00151697
106,246.435,0.6508,0.40952,0.88818,0.94021,0.87368,0.95706,0.72355,1.0109,0.56042,1.02164,0.00150859,0.00150859,0.00150859
107,248.628,0.69071,0.40538,0.90227,0.94021,0.87368,0.95706,0.72355,1.0109,0.56042,1.02164,0.00150017,0.00150017,0.00150017
108,251.17,0.67464,0.41412,0.91193,0.94536,0.91059,0.954,0.71837,1.05895,0.55689,1.04584,0.00149171,0.00149171,0.00149171
109,253.384,0.59612,0.38797,0.87797,0.95585,0.91152,0.95342,0.73957,0.9474,0.51614,1.00978,0.0014832,0.0014832,0.0014832
110,255.712,0.7018,0.39781,0.89981,0.95585,0.91152,0.95342,0.73957,0.9474,0.51614,1.00978,0.00147465,0.00147465,0.00147465
111,258.431,0.62988,0.37127,0.88832,0.97006,0.90526,0.95467,0.73736,0.92695,0.50964,1.00499,0.00146606,0.00146606,0.00146606
112,260.651,0.59796,0.38221,0.86757,0.97006,0.90526,0.95467,0.73736,0.92695,0.50964,1.00499,0.00145743,0.00145743,0.00145743
113,263.214,0.61779,0.37005,0.88761,0.95609,0.91675,0.95695,0.72213,0.94825,0.53965,1.01836,0.00144876,0.00144876,0.00144876
